Name,Description,List,Labels,Due Date
Finalize project scope,"Confirm MVP boundaries and required features from proposal.",Backlog,planning,
Create mobile + desktop wireframes,"Design core page layouts for Home/Search, Park Details, and Itinerary.",Backlog,design,
Set up Sunny Trails project structure,"Create folders, base HTML pages, JS modules, and assets structure.",Backlog,setup,
Configure environment + API keys,"Set up configuration for National Park Service and Open-Meteo API usage.",Backlog,setup,
Create task workflow in Trello,"Define card labels, checklist conventions, and sprint grouping.",Backlog,planning,
Implement parkService.js,"Build National Park Service API functions for search and park detail retrieval.",To Do,api,
Implement weatherService.js,"Build Open-Meteo API functions for weather and forecast retrieval.",To Do,api,
Handle API errors gracefully,"Show user-friendly fallbacks when APIs fail or return incomplete data.",To Do,api,
Normalize API response data,"Map external data into consistent internal models for UI rendering.",To Do,api,
Build search UI + input handling,"Implement search by park name and state with responsive controls.",To Do,ui,
Render park results list,"Display park cards with key summary info and image thumbnail.",To Do,ui,
Add park sorting controls,"Allow sorting search results by selected criteria.",To Do,ui,
Create parkCard.js component,"Render reusable park card markup for result lists.",To Do,ui,
Create parkDetail.js component,"Render full park details view with description, location, and visitor info.",To Do,ui,
Display park alerts in details view,"Show closures/warnings from NPS alerts data clearly.",To Do,ui,
Display weather panel in details view,"Show temperature, wind, precipitation, and forecast for selected park.",To Do,ui,
Build itinerary form,"Create form to save trip details tied to selected parks.",To Do,itinerary,
Implement itinerary summary before save,"Show a quick preview of trip details before final save action.",To Do,itinerary,
Implement itineraryList.js,"Display saved itineraries in a manageable list view.",To Do,itinerary,
Add edit itinerary feature,"Allow users to update saved trip details.",To Do,itinerary,
Add delete itinerary feature,"Allow users to remove a saved trip.",To Do,itinerary,
Add notes support for trips,"Store and render free-form notes tied to each itinerary.",To Do,itinerary,
Add gear checklist support,"Create checklist items for prep and packing tasks.",To Do,itinerary,
Implement storage.js for local persistence,"Persist itineraries, notes, checklist items, and selected parks in local storage.",To Do,storage,
Load persisted state on startup,"Hydrate UI from local storage on app load/refresh.",To Do,storage,
Implement events.js,"Wire click and input events for search, save, edit, delete, and checklist actions.",To Do,logic,
Create utilities.js helpers,"Add formatting and utility helpers for dates, values, and reusable operations.",To Do,logic,
Define outdoor visual identity,"Apply green/earthy palette, blue accents, and readable typography.",To Do,design,
Refine responsive behavior,"Ensure good layout on mobile-first and desktop side-by-side sections.",To Do,design,
Add iconography and visual polish,"Use mountain/map-pin style icon direction for brand consistency.",To Do,design,
Implement accessibility pass,"Verify labels, keyboard navigation, semantics, and color contrast.",To Do,quality,
Write unit tests for services,"Test API wrappers and data normalization logic.",To Do,testing,
Write unit tests for storage + utilities,"Test local storage persistence and helper functions.",To Do,testing,
Write unit tests for itinerary logic,"Test create/edit/delete and summary behavior.",To Do,testing,
Run full QA regression,"Test complete user flows from search to saved itinerary.",To Do,testing,
Cross-browser compatibility testing,"Verify behavior in Chrome, Edge, and Firefox.",To Do,testing,
Fix defects found during testing,"Resolve priority bugs and validate fixes.",To Do,testing,
Deploy Sunny Trails app,"Publish project and verify production functionality.",To Do,deploy,
Finalize documentation,"Update README and project notes with setup, features, and API details.",To Do,docs,
Record final project walkthrough,"Prepare demo script/screenshots and final submission package.",To Do,docs,
Connect APIs and validate responses,"Checkpoint: both APIs integrated and returning usable data.",In Progress,milestone,
Build core itinerary flow,"Checkpoint: users can create and persist itineraries locally.",In Progress,milestone,
Complete responsive UI and polish,"Checkpoint: UI finalized for mobile and desktop.",In Progress,milestone,
Testing complete and deploy verified,"Checkpoint: QA done and deployment ready.",Done,milestone,
Final submission complete,"Checkpoint: board link, repo, and deliverables submitted.",Done,milestone,
