"Name","Description","List","Labels","Due Date"
"Finalize project scope","Confirm MVP boundaries and required features from proposal.","Backlog Week 5","planning","2026-06-14"
"Create mobile + desktop wireframes","Design core page layouts for Home/Search, Park Details, and Itinerary.","Backlog Week 5","design","2026-06-14"
"Set up Sunny Trails project structure","Create folders, base HTML pages, JS modules, and assets structure.","Backlog Week 5","setup","2026-06-14"
"Configure environment + API keys","Set up configuration for National Park Service and Open-Meteo API usage.","Backlog Week 5","setup","2026-06-14"
"Create task workflow in Trello","Define card labels, checklist conventions, and sprint grouping.","Backlog Week 5","planning","2026-06-14"
"Implement parkService.js","Build National Park Service API functions for search and park detail retrieval.","Backlog Week 6","api","2026-06-21"
"Implement weatherService.js","Build Open-Meteo API functions for weather and forecast retrieval.","Backlog Week 6","api","2026-06-21"
"Handle API errors gracefully","Show user-friendly fallbacks when APIs fail or return incomplete data.","Backlog Week 6","api","2026-06-21"
"Normalize API response data","Map external data into consistent internal models for UI rendering.","Backlog Week 6","api","2026-06-21"
"Build search UI + input handling","Implement search by park name and state with responsive controls.","Backlog Week 6","ui","2026-06-21"
"Render park results list","Display park cards with key summary info and image thumbnail.","Backlog Week 6","ui","2026-06-21"
"Add park sorting controls","Allow sorting search results by selected criteria.","Backlog Week 6","ui","2026-06-21"
"Create parkCard.js component","Render reusable park card markup for result lists.","Backlog Week 6","ui","2026-06-21"
"Create parkDetail.js component","Render full park details view with description, location, and visitor info.","Backlog Week 6","ui","2026-06-21"
"Display park alerts in details view","Show closures/warnings from NPS alerts data clearly.","Backlog Week 6","ui","2026-06-21"
"Display weather panel in details view","Show temperature, wind, precipitation, and forecast for selected park.","Backlog Week 6","ui","2026-06-21"
"Build itinerary form","Create form to save trip details tied to selected parks.","Backlog Week 6","itinerary","2026-06-21"
"Implement itinerary summary before save","Show a quick preview of trip details before final save action.","Backlog Week 6","itinerary","2026-06-21"
"Implement itineraryList.js","Display saved itineraries in a manageable list view.","Backlog Week 6","itinerary","2026-06-21"
"Add edit itinerary feature","Allow users to update saved trip details.","Backlog Week 7","itinerary","2026-06-28"
"Add delete itinerary feature","Allow users to remove a saved trip.","Backlog Week 7","itinerary","2026-06-28"
"Add notes support for trips","Store and render free-form notes tied to each itinerary.","Backlog Week 7","itinerary","2026-06-28"
"Add gear checklist support","Create checklist items for prep and packing tasks.","Backlog Week 7","itinerary","2026-06-28"
"Implement storage.js for local persistence","Persist itineraries, notes, checklist items, and selected parks in local storage.","Backlog Week 6","storage","2026-06-21"
"Load persisted state on startup","Hydrate UI from local storage on app load/refresh.","Backlog Week 6","storage","2026-06-21"
"Implement events.js","Wire click and input events for search, save, edit, delete, and checklist actions.","Backlog Week 6","logic","2026-06-21"
"Create utilities.js helpers","Add formatting and utility helpers for dates, values, and reusable operations.","Backlog Week 6","logic","2026-06-21"
"Define outdoor visual identity","Apply green/earthy palette, blue accents, and readable typography.","Backlog Week 5","design","2026-06-14"
"Refine responsive behavior","Ensure good layout on mobile-first and desktop side-by-side sections.","Backlog Week 7","design","2026-06-28"
"Add iconography and visual polish","Use mountain/map-pin style icon direction for brand consistency.","Backlog Week 7","design","2026-06-28"
"Implement accessibility pass","Verify labels, keyboard navigation, semantics, and color contrast.","Backlog Week 7","quality","2026-06-28"
"Write unit tests for services","Test API wrappers and data normalization logic.","Backlog Week 7","testing","2026-06-28"
"Write unit tests for storage + utilities","Test local storage persistence and helper functions.","Backlog Week 7","testing","2026-06-28"
"Write unit tests for itinerary logic","Test create/edit/delete and summary behavior.","Backlog Week 7","testing","2026-06-28"
"Run full QA regression","Test complete user flows from search to saved itinerary.","Backlog Week 7","testing","2026-06-28"
"Cross-browser compatibility testing","Verify behavior in Chrome, Edge, and Firefox.","Backlog Week 7","testing","2026-06-28"
"Fix defects found during testing","Resolve priority bugs and validate fixes.","Backlog Week 7","testing","2026-06-28"
"Deploy Sunny Trails app","Publish project and verify production functionality.","Backlog Week 7","deploy","2026-06-28"
"Finalize documentation","Update README and project notes with setup, features, and API details.","Backlog Week 7","docs","2026-06-28"
"Record final project walkthrough","Prepare demo script/screenshots and final submission package.","Backlog Week 7","docs","2026-06-28"
"Connect APIs and validate responses","Checkpoint: both APIs integrated and returning usable data.","Backlog Week 6","milestone","2026-06-21"
"Build core itinerary flow","Checkpoint: users can create and persist itineraries locally.","Backlog Week 6","milestone","2026-06-21"
"Complete responsive UI and polish","Checkpoint: UI finalized for mobile and desktop.","Backlog Week 7","milestone","2026-06-28"
"Testing complete and deploy verified","Checkpoint: QA done and deployment ready.","Backlog Week 7","milestone","2026-06-28"
"Final submission complete","Checkpoint: board link, repo, and deliverables submitted.","Backlog Week 7","milestone","2026-06-30"
